vic_detail,journ_entry,stage,notes
Final Group Text to her friends,"""Love you all, sorry guys.""",0,
Letter meant for Grace,"""I just
want to say that it has been an honest comfort to have someo ne that
understands,"" ""Thank you so,
so much for being there and saving my sanity. I just ... you make me
feel like I'm not alone, and that's a huge deal.""",0,
Letter meant for Grace,"""If you ever feelsad or lonely/' Vic wrote in a letter to Grace, ""please remember that you are a living,breathing, intri cate, strong, indep endent [person] with the ability to love andto laugh and to cry. You have empathy, intelligence and kindnes s, and Grace, you'repretty danm awesome and if other people can't see it, they are deluded. And I shouldconfirm that you are a whole lot pr ettier than you think you are . . . . I would sometimesthink of the old, slightly cliched (but nonetheless true) phrase 'this too shallpass: Because no matter what happens , the bad things will pass. It's comforting toremind yourself that whatever future stress you'll endure, it'll be temporary-clearskies and Mary Poppins and all that are on the horizon! And even thou gh good thingspass too, don't be upset becau se it's over, smile because it happened ... so Hakunamatata and carpe diem!""",0,
no timestamp,"""I don 't want other kids to feel like freaks or teachers to
always assume that the kid at the back of class who never raises their
hand is just 'shy' . .. when they are really paralyzed with [a] fear and
hopelessness that they believe no one could ever understand.""",0,
poem,"She laid her head on the pillow beside me,
Flyaway curls spread across the downy lint,
Her eyes closed, her spine convex,
Slim hands reachingf or someone
In the empty space, though my warmth
Emanated, and my eyes breathed in
Every perfect lash, line and mark on
Her canvas that she did not paint and which
She could not see, and every little piece of
Beauty she thought she could never be.
And though I was close enough to touch,
I knew those hands
Would never reach me.",0,
Suicide note found in her pocket,"""If I'm brain damaged,""
it read, ""I don't want to be kept alive. I don 't want to be a
vegetable: '",0,
poem,"I snuck a lighter from the kitchen
When I was fifteeni not to smoke: to smell.
I lit incense stick after incense stick,
And inhaled sandalwood smoldering,
As the drunkards climbed the stairs,
Swallowing tar and solute methane,
But really, what is the difference?
We escape our minds with our senses:
Chemical compounds to rid
Us of our demons.
They laughed the night away,
And I heard their chortles echo
As they strolled the empty streets
To rid themselves of the pain
Of guilt and all the trials
Life so unpityingly hands us,
And to endorse the transience
Of which we make
By a swig, a drag, or a cut,
A smell, a kiss, or
A word.",0,
poem,"Winter Mind - It's a shadow that sweeps over you.
Grey skies. Charcoal streets coated with grime
And glistening wetness under rusted lampposts.
Rain-splattered glass,the drops slidingd own car windows like tears.
The eternal, slow, steady rain falling, on cold days through fog.
Tangled, windswept hair. Stale black coffee.
Dust building on the spines of unopened books.
The color draining from floral-patterned sheets and curios
In bedrooms like tea-dregs giving way to crumpled black clothes
And silence.
Splinters of dark aluminum sunrays refracting
Through the gaps in drawn curtains.
Time passing in a colorless blur between day and night.
The weeks stretching into an endless winter,:
Kept inside to rot like a dying plant. Eyes opening only to wish,
To cling on to the only thing you know; that death will come to you.
Sad songs become a daily commodity.
Not even talking can expunge this melancholy,
There will soon be nothing left to extract.
Silence.
The time has passed for brutal honesty,
For there is no energy left to bellow out the troubles of your world.
You want to be alone, but you crave company.
But in your heart you know that no one wants to be dragged
Into your toxic,m orose-riddend omain.
It's an emptiness that food cannot fill.
A detachment that paralyzes your neurotransmitters.
Cold numbness.
Wait for the high, it'll come some time.
For now, there is nothing but your thoughts,
And silence.",0,
poem,"Cavity -  She is empty.
She is the untenanted space Between the train and the tracks,
The filter between the mind and the face,
She is the void between the glass and the frame,
A speck of dust on stained quartz crystal,
 And the moon's veil between wax and wane.",0,
poem,"She prayed and prayed,
The covers wrapped around her,
Listening to the clock tick away her time,
Until the day she left the bed,
And left herself behind.",0,
poem,"I will be - You lookup.
Stars
 little lights 
Little places where you
 Cannot live with your 
Lungs and your skin But 
with your heart.
My little world will meet
 Yours and yours mine. 
My organs, though left 
Behind in the earth to become
The trees, or to live and
 Be wanted in another's body,
I will be there as
 Another dot to join the dots,
So that when you look up,
I will be there, and you know 
I will be free.",0,Vic hopes for this to be inscribe on her tombstone
Stage 1: Falling short of expectations,"""I have so many opportunities,""  ""If some people were
me, they'd be so happy. They'd have their own room. They'd have a
great school. They'd live everyday like it was heaven. Hence why am
I being completely self-indulgent? I shouldn't be so wrapped up in
my own stupid, worthless problems, when some people would give
anything to live my life. I have my whole life ahead of me. So why
can't I just live it?""",1,
